,product_id,discounted_price,actual_price
4659,B07T5DKR5D,149.0,
4675,B07PR1CL3S,,3990.0
4691,B07JQKQ91F,,999.0
4699,B08W56G1K9,99.0,
4715,B01L8ZNWN2,,1500.0
4723,B009VCGPSY,269.0,
4731,B0B296NTFV,299.0,
4755,B07TCN5VR9,,999.0
4763,B00ZYLMQH0,,1799.0
4779,B01HJI0FS2,,650.0
4787,B076B8G5D8,,1995.0
4803,B014SZO90Y,266.0,
4811,B07KCMR8D6,,50.0
4819,B00N1U9AJS,,165.0
4827,B07KY3FNQP,449.0,
4840,B07QZ3CZ48,,1290.0
4848,B09T3H12GV,1399.0,
4880,B08ZJDWTJ1,,4999.0
4888,B08FTFXNNB,,1999.0
4896,B08YDFX7Y1,,449.0
4912,B087FXHB6J,,999.0
4920,B07N42JB4S,,3990.0
4928,B0B31BYXQQ,,5499.0
4944,B07SLMR1K6,,1350.0
4968,B092X94QNQ,1499.0,
4973,B0846D5CBP,,
4981,B00KXULGJQ,1889.0,
4989,B08H9Z3XQW,455.0,
4997,B08LPJZSSW,,995.0
5021,B08CYPB15D,,761.0
5037,B00MFPCY5C,39.0,
5045,B07JJFSG2B,,2500.0
5053,B09NR6G588,1199.0,
5061,B07JPX9CR7,569.0,
5069,B08D11DZ2W,1499.0,
5077,B07Q7561HD,,180.0
5085,B0819HZPXL,399.0,
5093,B00LXTFMRS,191.0,
5101,B0B9LDCX89,129.0,
5109,B0765B3TH7,199.0,
5117,B0B1F6GQPS,,4499.0
5125,B07LG59NPV,899.0,
5149,B00AXHBBXU,522.0,
5157,B08MCD9JFY,,1999.0
5165,B083RCTXLL,,1199.0
5173,B08HLZ28QC,1199.0,
5181,B07GVR9TG7,,4999.0
5189,B0856HY85J,,4999.0
5197,B07CD2BN46,,599.0
5205,B07PLHTTB4,,499.0
5213,B077T3BG5L,,399.0
5229,B079Y6JZC8,139.0,
5237,B0856HNMR7,1199.0,
5245,B0B12K5BPM,1049.0,
5269,B00LVMTA2A,225.0,
5277,B07TR5HSR9,656.0,
5285,B0819ZZK5K,1109.0,
5301,B08QJJCY2Q,,299.0
5309,B07L5L4GTB,309.0,
5317,B07L8KNP5F,599.0,
5325,B08CF4SCNP,,599.0
5333,B09XX51X2G,449.0,
5341,B01M72LILF,799.0,
5357,B00LZLQ624,157.0,
5373,B09GB5B4BK,599.0,
